Date,Open,High,Low,Close,Retorno_diario,Retorno_lag_1,Retorno_lag_2,Retorno_lag_3,Retorno_lag_5,Rango_diario,Cuerpo_vela,Posicion_cierre,Distancia_MA5,Distancia_MA10,Distancia_MA20,Volatilidad_5,Volatilidad_20,RSI_14,MACD_hist,Objetivo
2007-08-03,1.3703,1.3819,1.3684,1.3773,0.005181725295577255,0.0026342748426753104,-0.0012424175984798724,-0.000949182242990565,-0.008220573257675001,0.009851857257534733,0.005108370429832807,0.65925925925926,0.005035026269702314,0.0034972677595628276,0.0019642077695329885,0.0030246877730906057,0.003804982492345741,50.18796992481201,-0.001600147014718516,1
2007-08-06,1.3796,1.3838,1.378,1.3793,0.0014521164597400826,0.005181725295577255,0.0026342748426753104,-0.0012424175984798724,0.004621139881170633,0.004204117135401586,-0.00021745433458971223,0.2241379310344953,0.005071629479575179,0.005056982132968013,0.0028100201027312366,0.002661177076811054,0.0038073314768279627,51.10701107011059,-0.001034172904843679,0
2007-08-07,1.3792,1.3815,1.3735,1.3736,-0.004132530993982475,0.0014521164597400826,0.005181725295577255,0.0026342748426753104,-0.000949182242990565,0.005800464037122975,-0.004060324825986115,0.012499999999998613,0.0001456239988348873,0.0015384727559077938,-0.0012978184290217687,0.003587770396764774,0.0034221681854650987,44.290657439446214,-0.0010340445921698301,1
2007-08-08,1.3738,1.3826,1.3721,1.3797,0.004440885264997085,-0.004132530993982475,0.0014521164597400826,0.005181725295577255,-0.0012424175984798724,0.007643033920512414,0.004294657155335578,0.7238095238095107,0.002674379732852561,0.005429039897977717,0.0029440628066730312,0.0036863206144586236,0.0035647738901673884,49.5297805642632,-0.000633178959449858,0
2007-08-09,1.3797,1.3816,1.3655,1.3677,-0.008697542944118286,0.004440885264997085,-0.004132530993982475,0.0014521164597400826,0.0026342748426753104,0.01166920345002537,-0.008697542944118295,0.13664596273291796,-0.005685122717227098,-0.002814313628277443,-0.005377810260382088,0.005932731207230627,0.004003207705878013,39.78201634877374,-0.0011558095491352952,1
2007-08-10,1.3678,1.3704,1.3643,1.3692,0.001096731739416601,-0.008697542944118286,0.004440885264997085,-0.004132530993982475,0.005181725295577255,0.004459716332797189,0.0010235414534289135,0.8032786885245753,-0.003420918553024177,-0.0021499107240462445,-0.003961022664033198,0.005218622303071065,0.004017058979254266,42.11248285322354,-0.001365699735515054,0
2007-08-13,1.3689,1.3709,1.3604,1.3612,-0.005842827928717487,0.001096731739416601,-0.008697542944118286,0.004440885264997085,0.0014521164597400826,0.007670392285776867,-0.00562495434290309,0.07619047619046813,-0.00662638292903639,-0.007372512415135812,-0.009207700986279432,0.005321673718094191,0.004202759879531531,36.696090794451365,-0.0019717226058120797,0
2007-08-14,1.3609,1.3625,1.3531,1.3533,-0.005803702615339468,-0.005842827928717487,0.001096731739416601,-0.008697542944118286,-0.004132530993982475,0.006907193768829506,-0.005584539642883424,0.02127659574467834,-0.009456749279032506,-0.012052766442061325,-0.014068089260605876,0.005489692779215613,0.004347734494229311,37.79220779220769,-0.0027833893267177365,0
2007-08-15,1.3533,1.3539,1.3439,1.3441,-0.0067981969999260095,-0.005803702615339468,-0.005842827928717487,0.001096731739416601,0.004440885264997085,0.0073893445651370794,-0.006798196999926015,0.01999999999999778,-0.011036715473475178,-0.017154640381409125,-0.019481253715882274,0.0037152772686867247,0.004499285281665107,31.780167264038226,-0.00375801977414181,0
2007-08-16,1.344,1.3446,1.337,1.3427,-0.0010415891674726563,-0.0067981969999260095,-0.005803702615339468,-0.005842827928717487,-0.008697542944118286,0.005654761904761943,-0.0009672619047619633,0.75,-0.00841887600620339,-0.016200057150812075,-0.01915736800774326,0.003488891160346428,0.004488090618152344,36.04336043360435,-0.004277357924648408,1
2007-08-17,1.3427,1.3545,1.3371,1.3475,0.0035748864228792865,-0.0010415891674726563,-0.0067981969999260095,-0.005803702615339468,0.001096731739416601,0.012958963282937426,0.00357488642287921,0.5977011494252825,-0.0016743717401611624,-0.010522605611566704,-0.014383779573058142,0.004395084836107845,0.0045730133109419275,34.716459197786946,-0.004078684640309548,0
2007-08-20,1.3475,1.3506,1.346,1.3473,-0.0001484230055658342,0.0035748864228792865,-0.0010415891674726563,-0.0067981969999260095,-0.005842827928717487,0.003413729128014796,-0.00014842300556584638,0.28260869565214664,0.00023756848654032936,-0.008339282954152427,-0.013324838245471371,0.0042692995723074756,0.00457971138393458,35.25280898876393,-0.003750182652419349,0
2007-08-21,1.3476,1.3518,1.3457,1.3465,-0.0005937801528983488,-0.0001484230055658342,0.0035748864228792865,-0.0010415891674726563,-0.005803702615339468,0.004526565746512314,-0.0008162659542890167,0.13114754098362863,0.0006539736329722601,-0.006947312525812599,-0.012616364976296146,0.0037229219620625266,0.004548587333998912,35.704125177809345,-0.0033872703388141325,1
