Date,Open,High,Low,Close,Retorno_diario,Objetivo
2008-08-11,1.4968,1.5082,1.488,1.4892,-0.007530823058980229,1
2008-08-12,1.4893,1.4963,1.4816,1.4913,0.0014101531023367198,1
2008-08-13,1.4914,1.4978,1.4841,1.4922,0.0006035003017501595,0
2008-08-14,1.4921,1.4948,1.4777,1.4801,-0.008108832596166682,0
2008-08-15,1.4823,1.4824,1.4658,1.4687,-0.007702182284980763,0
2008-08-18,1.4683,1.4766,1.4672,1.4678,-0.000612786818274591,1
2008-08-19,1.4678,1.4793,1.463,1.478,0.0069491756370076985,0
2008-08-20,1.4781,1.4804,1.4672,1.4743,-0.0025033829499323534,1
2008-08-21,1.4742,1.4908,1.4731,1.4896,0.010377806416604463,0
2008-08-22,1.4896,1.4899,1.4757,1.479,-0.007116004296455425,0
2008-08-25,1.4788,1.4807,1.4696,1.4752,-0.0025693035835023803,0
2008-08-26,1.4753,1.476,1.457,1.4642,-0.007456616052060827,1
2008-08-27,1.4642,1.4775,1.4633,1.4713,0.004849064335473274,0
2008-08-28,1.4714,1.4808,1.4671,1.4697,-0.001087473662747307,0
2008-08-29,1.4693,1.4766,1.464,1.4671,-0.0017690685173844534,0
2008-09-01,1.4686,1.4717,1.4581,1.4588,-0.005657419398813923,0
2008-09-02,1.4616,1.4616,1.4466,1.4516,-0.004935563476830329,0
2008-09-03,1.4516,1.453,1.4385,1.4491,-0.0017222375310002036,0
2008-09-04,1.449,1.4545,1.4213,1.4242,-0.01718307915257755,1
2008-09-05,1.424,1.4348,1.4196,1.426,0.0012638674343490308,0
2008-09-08,1.4267,1.4429,1.4054,1.4121,-0.009747545582047712,0
2008-09-09,1.4118,1.4227,1.4047,1.4102,-0.0013455137738120904,0
2008-09-10,1.4106,1.4179,1.3954,1.3962,-0.0099276698340659,1
2008-09-11,1.3964,1.4041,1.3882,1.4016,0.0038676407391489143,1
2008-09-12,1.4019,1.424,1.3973,1.4219,0.014483447488584433,1
2008-09-15,1.4222,1.4483,1.4085,1.4282,0.004430691328504155,0
2008-09-16,1.4275,1.4283,1.4073,1.4101,-0.012673295056714773,1
2008-09-17,1.4096,1.4384,1.4095,1.4323,0.015743564286220924,0
2008-09-18,1.4323,1.4542,1.4279,1.4323,0.0,1
2008-09-19,1.4327,1.4498,1.4152,1.4464,0.009844306360399457,1
2008-09-22,1.4466,1.4867,1.4438,1.4797,0.02302267699115057,0
2008-09-23,1.4798,1.4827,1.4623,1.4668,-0.008717983375008398,0
2008-09-24,1.467,1.4746,1.4604,1.4614,-0.0036814835014998826,1
2008-09-25,1.4613,1.4768,1.4561,1.4615,6.842753524027856e-05,0
2008-09-26,1.4619,1.4678,1.4555,1.4601,-0.0009579199452617315,0
2008-09-29,1.4612,1.4636,1.4303,1.4414,-0.012807341962879248,0
2008-09-30,1.4416,1.4426,1.4008,1.4115,-0.020743721381989766,0
2008-10-01,1.4114,1.4174,1.3976,1.4006,-0.007722281261069774,0
2008-10-02,1.4008,1.4025,1.3747,1.38,-0.014707982293302946,0
2008-10-03,1.3798,1.3907,1.3704,1.3782,-0.0013043478260867936,0
2008-10-06,1.3771,1.3773,1.3444,1.3485,-0.021549847627340024,1
